iteration,model_runs_completed,total_phi,measurement_phi,regularization_phi,temp_0.1,temp_1,temp_2,temp_3,temp_4,temp_5,temp_6,temp_7,temp_8,temp_9,oxy_0.1,oxy_1,oxy_2,oxy_3,oxy_4,oxy_5,oxy_6,oxy_7,oxy_8,oxy_9,thermo_depth,schmidt_s,mom,af
0,0,3927.94,3927.94,0,19.8776,20.8813,28.7003,17.8063,31.1218,16.8194,7.03298,2.36582,5.1443,5.57352,27.6199,29.3798,68.5128,242.868,187.646,320.429,315.274,155.031,359.005,470.678,77.8812,50.1893,141.743,1326.36
1,40,1610.82,1610.82,0,13.3697,13.561,22.6693,18.3258,35.6702,16.2192,6.75973,2.0562,4.74114,5.07065,30.7314,33.3498,72.7407,165.468,87.8903,112.18,63.3159,42.0444,108.823,165.523,94.7571,30.4845,112.905,352.16
2,79,1209.83,1209.83,0,12.3008,12.3121,21.5018,17.7005,33.5403,16.2632,6.61116,1.95047,4.48671,4.77557,32.4109,35.8898,76.1532,149.3,70.4709,43.5321,39.4661,47.1255,63.8347,86.3199,104.643,28.6483,103.778,196.815
3,118,1181.62,1181.62,0,11.4335,11.1199,20.6939,16.4486,31.3867,16.7261,6.79425,1.97004,4.64632,4.96848,32.5218,36.0617,76.4226,147.655,67.759,38.6072,41.5857,54.7871,70.7394,85.6442,99.7231,27.8579,103.28,172.786
4,186,1170.54,1170.54,0,9.69377,8.73725,17.998,15.701,31.0549,16.1194,6.45314,1.83136,4.37805,4.63225,32.7541,36.6388,77.398,148.414,68.4137,38.9948,40.0392,53.8295,69.7656,82.8497,97.0707,22.434,107.872,177.466
5,254,1174.34,1174.34,0,9.53684,8.51919,17.6912,15.6651,30.6181,16.0069,6.5093,1.90684,4.41352,4.67519,32.8444,36.6361,77.3199,150.569,69.3813,38.0633,45.0723,51.335,68.9426,83.2188,94.5408,21.908,108.933,180.036
6,322,1160.08,1160.08,0,9.45617,8.4337,17.5323,15.6989,31.7035,16.3816,6.54304,1.9388,4.41024,4.6577,32.783,36.5931,77.3464,151.178,68.5293,38.7802,43.3556,52.1816,66.8832,84.4505,89.3379,22.0618,104.207,175.64
7,390,1165,1165,0,9.46899,8.44613,17.3726,15.8447,30.6916,16.1874,6.51829,1.93816,4.42875,4.70288,32.7832,36.5681,77.2283,149.012,66.6342,37.9926,43.1026,54.0932,69.307,85.4488,94.9544,21.991,100.661,179.626
8,458,1129.85,1129.85,0,9.04821,7.54697,16.556,16.0238,32.5717,15.9758,6.25825,2.01854,4.51691,4.74511,33.2134,36.7558,77.0239,142.549,66.6218,39.7134,44.3192,50.9341,61.1932,76.2096,97.3665,20.2055,98.0249,170.46
9,526,1126.45,1126.45,0,8.63373,6.78083,15.2585,15.7088,31.8607,16.1446,7.00083,2.50831,5.40877,5.7227,33.5203,37.0126,77.4519,134.352,65.9551,40.6819,47.6875,55.3426,58.9446,71.9343,104.696,18.8495,98.5812,166.408
