"DateTime","Depth","temp"
2016-12-02,0.1,8.7574
2016-12-02,0.2,8.75142222222222
2016-12-02,0.3,8.74544444444444
2016-12-02,0.4,8.73946666666667
2016-12-02,0.5,8.73348888888889
2016-12-02,0.6,8.72751111111111
2016-12-02,0.7,8.72153333333333
2016-12-02,0.8,8.71555555555556
2016-12-02,0.9,8.70957777777778
2016-12-02,1,8.7036
2016-12-02,1.1,8.69495
2016-12-02,1.2,8.6863
2016-12-02,1.3,8.67765
2016-12-02,1.4,8.669
2016-12-02,1.5,8.66035
2016-12-02,1.6,8.6517
2016-12-02,1.7,8.64305
2016-12-02,1.8,8.6344
2016-12-02,1.9,8.62575
2016-12-02,2,8.6171
2016-12-02,2.1,8.60436
2016-12-02,2.2,8.59162
2016-12-02,2.3,8.57888
2016-12-02,2.4,8.56614
2016-12-02,2.5,8.5534
2016-12-02,2.6,8.54066
2016-12-02,2.7,8.52792
2016-12-02,2.8,8.51518
2016-12-02,2.9,8.50244
2016-12-02,3,8.4897
2016-12-02,3.1,8.47894
2016-12-02,3.2,8.46818
2016-12-02,3.3,8.45742
2016-12-02,3.4,8.44666
2016-12-02,3.5,8.4359
2016-12-02,3.6,8.42514
2016-12-02,3.7,8.41438
2016-12-02,3.8,8.40362
2016-12-02,3.9,8.39286
2016-12-02,4,8.3821
2016-12-02,4.1,8.35718
2016-12-02,4.2,8.33226
2016-12-02,4.3,8.30734
2016-12-02,4.4,8.28242
2016-12-02,4.5,8.2575
2016-12-02,4.6,8.23258
2016-12-02,4.7,8.20766
2016-12-02,4.8,8.18274
2016-12-02,4.9,8.15782
2016-12-02,5,8.1329
2016-12-02,5.1,8.12476
2016-12-02,5.2,8.11662
2016-12-02,5.3,8.10848
2016-12-02,5.4,8.10034
2016-12-02,5.5,8.0922
2016-12-02,5.6,8.08406
2016-12-02,5.7,8.07592
2016-12-02,5.8,8.06778
2016-12-02,5.9,8.05964
2016-12-02,6,8.0515
2016-12-02,6.1,8.04854
2016-12-02,6.2,8.04558
2016-12-02,6.3,8.04262
2016-12-02,6.4,8.03966
2016-12-02,6.5,8.0367
2016-12-02,6.6,8.03374
2016-12-02,6.7,8.03078
2016-12-02,6.8,8.02782
2016-12-02,6.9,8.02486
2016-12-02,7,8.0219
2016-12-02,7.1,8.02078
2016-12-02,7.2,8.01966
2016-12-02,7.3,8.01854
2016-12-02,7.4,8.01742
2016-12-02,7.5,8.0163
2016-12-02,7.6,8.01518
2016-12-02,7.7,8.01406
2016-12-02,7.8,8.01294
2016-12-02,7.9,8.01182
2016-12-02,8,8.0107
2016-12-02,8.1,8.01022
2016-12-02,8.2,8.00974
2016-12-02,8.3,8.00926
2016-12-02,8.4,8.00878
2016-12-02,8.5,8.0083
2016-12-02,8.6,8.00782
2016-12-02,8.7,8.00734
2016-12-02,8.8,8.00686
2016-12-02,8.9,8.00638
2016-12-02,9,8.0059
2016-12-02,9.1,8.00545
2016-12-02,9.2,8.005
2016-12-03,0.1,8.69213636363636
2016-12-03,0.2,8.68582828282828
2016-12-03,0.3,8.6795202020202
2016-12-03,0.4,8.67321212121212
2016-12-03,0.5,8.66690404040404
2016-12-03,0.6,8.66059595959596
2016-12-03,0.7,8.65428787878788
2016-12-03,0.8,8.6479797979798
2016-12-03,0.9,8.64167171717172
2016-12-03,1,8.63536363636364
2016-12-03,1.1,8.62669318181818
2016-12-03,1.2,8.61802272727273
2016-12-03,1.3,8.60935227272727
2016-12-03,1.4,8.60068181818182
2016-12-03,1.5,8.59201136363636
2016-12-03,1.6,8.58334090909091
2016-12-03,1.7,8.57467045454545
2016-12-03,1.8,8.566
2016-12-03,1.9,8.55732954545454
2016-12-03,2,8.54865909090909
2016-12-03,2.1,8.53611212121212
2016-12-03,2.2,8.52356515151515
2016-12-03,2.3,8.51101818181818
2016-12-03,2.4,8.49847121212121
2016-12-03,2.5,8.48592424242424
2016-12-03,2.6,8.47337727272727
2016-12-03,2.7,8.4608303030303
2016-12-03,2.8,8.44828333333333
2016-12-03,2.9,8.43573636363636
2016-12-03,3,8.42318939393939
2016-12-03,3.1,8.41259242424242
2016-12-03,3.2,8.40199545454545
2016-12-03,3.3,8.39139848484848
2016-12-03,3.4,8.38080151515151
2016-12-03,3.5,8.37020454545454
2016-12-03,3.6,8.35960757575758
2016-12-03,3.7,8.34901060606061
2016-12-03,3.8,8.33841363636364
2016-12-03,3.9,8.32781666666667
2016-12-03,4,8.3172196969697
2016-12-03,4.1,8.29267727272727
2016-12-03,4.2,8.26813484848485
2016-12-03,4.3,8.24359242424242
2016-12-03,4.4,8.21905
2016-12-03,4.5,8.19450757575758
2016-12-03,4.6,8.16996515151515
2016-12-03,4.7,8.14542272727273
2016-12-03,4.8,8.1208803030303
2016-12-03,4.9,8.09633787878788
2016-12-03,5,8.07179545454545
2016-12-03,5.1,8.06377878787879
2016-12-03,5.2,8.05576212121212
2016-12-03,5.3,8.04774545454545
2016-12-03,5.4,8.03972878787879
2016-12-03,5.5,8.03171212121212
2016-12-03,5.6,8.02369545454546
2016-12-03,5.7,8.01567878787879
2016-12-03,5.8,8.00766212121212
2016-12-03,5.9,7.99964545454545
2016-12-03,6,7.99162878787879
2016-12-03,6.1,8.03516597701149
2016-12-03,6.2,8.0320675862069
2016-12-03,6.3,8.0289691954023
2016-12-03,6.4,8.0258708045977
2016-12-03,6.5,8.0227724137931
2016-12-03,6.6,8.01967402298851
2016-12-03,6.7,8.01657563218391
2016-12-03,6.8,8.01347724137931
2016-12-03,6.9,8.01037885057471
2016-12-03,7,8.00728045977012
2016-12-03,7.1,8.00600091954023
2016-12-03,7.2,8.00472137931034
2016-12-03,7.3,8.00344183908046
2016-12-03,7.4,8.00216229885057
2016-12-03,7.5,8.00088275862069
2016-12-03,7.6,7.99960321839081
2016-12-03,7.7,7.99832367816092
2016-12-03,7.8,7.99704413793104
2016-12-03,7.9,7.99576459770115
2016-12-03,8,7.99448505747126
2016-12-03,8.1,7.99389563218391
2016-12-03,8.2,7.99330620689655
2016-12-03,8.3,7.99271678160919
2016-12-03,8.4,7.99212735632184
2016-12-03,8.5,7.99153793103448
2016-12-03,8.6,7.99094850574713
2016-12-03,8.7,7.99035908045977
2016-12-03,8.8,7.98976965517241
2016-12-03,8.9,7.98918022988506
2016-12-03,9,7.9885908045977
2016-12-03,9.1,7.98814597701149
2016-12-03,9.2,7.98770114942529
2016-12-04,0.1,8.62687272727273
2016-12-04,0.2,8.62023434343434
2016-12-04,0.3,8.61359595959596
2016-12-04,0.4,8.60695757575758
2016-12-04,0.5,8.60031919191919
2016-12-04,0.6,8.59368080808081
2016-12-04,0.7,8.58704242424242
2016-12-04,0.8,8.58040404040404
2016-12-04,0.9,8.57376565656566
2016-12-04,1,8.56712727272727
2016-12-04,1.1,8.55843636363636
2016-12-04,1.2,8.54974545454545
