obsnme,obsval,weight,obgnme,extra,standard_deviation
wq0.1_t_82,28.4272,1.923076923076923,temp_0.1,,0.52
wq0.1_t_83,26.3496,1.923076923076923,temp_0.1,,0.52
wq0.1_t_84,26.6,1.923076923076923,temp_0.1,,0.52
wq0.1_t_85,26.5094,1.923076923076923,temp_0.1,,0.52
wq0.1_t_86,26.9415,1.923076923076923,temp_0.1,,0.52
wq0.1_t_87,25.8962,1.923076923076923,temp_0.1,,0.52
wq0.1_t_88,24.372,1.923076923076923,temp_0.1,,0.52
wq0.1_t_89,26.0445,1.923076923076923,temp_0.1,,0.52
wq0.1_t_90,26.117,1.923076923076923,temp_0.1,,0.52
wq0.1_t_91,28.0762,1.923076923076923,temp_0.1,,0.52
wq0.1_t_92,23.8694,1.923076923076923,temp_0.1,,0.52
wq0.1_t_93,24.3203,1.923076923076923,temp_0.1,,0.52
wq0.1_t_94,22.8417,1.923076923076923,temp_0.1,,0.52
wq0.1_t_95,24.7236,1.923076923076923,temp_0.1,,0.52
wq0.1_t_96,21.4644,1.923076923076923,temp_0.1,,0.52
wq0.1_t_97,21.3117,1.923076923076923,temp_0.1,,0.52
wq0.1_t_98,24.0209,1.923076923076923,temp_0.1,,0.52
wq0.1_t_99,23.4392,1.923076923076923,temp_0.1,,0.52
wq0.1_t_100,17.502,1.923076923076923,temp_0.1,,0.52
wq0.1_t_101,16.0301,1.923076923076923,temp_0.1,,0.52
wq0.1_t_102,15.3,1.923076923076923,temp_0.1,,0.52
wq0.1_t_103,14.4926,1.923076923076923,temp_0.1,,0.52
wq0.1_t_104,12.1781,1.923076923076923,temp_0.1,,0.52
wq0.1_t_105,12.7126,1.923076923076923,temp_0.1,,0.52
wq0.1_t_106,13.4469,1.923076923076923,temp_0.1,,0.52
wq0.1_t_107,8.5742,1.923076923076923,temp_0.1,,0.52
wq0.1_t_108,2.3,1.923076923076923,temp_0.1,,0.52
wq0.1_t_109,4.886,1.923076923076923,temp_0.1,,0.52
wq0.1_t_110,9.0,1.923076923076923,temp_0.1,,0.52
wq0.1_t_111,10.8,1.923076923076923,temp_0.1,,0.52
wq0.1_t_112,16.8,1.923076923076923,temp_0.1,,0.52
wq0.1_t_113,20.4,1.923076923076923,temp_0.1,,0.52
wq0.1_t_114,21.1,1.923076923076923,temp_0.1,,0.52
wq0.1_t_115,22.9,1.923076923076923,temp_0.1,,0.52
wq0.1_t_116,23.3,1.923076923076923,temp_0.1,,0.52
wq0.1_t_117,25.0,1.923076923076923,temp_0.1,,0.52
wq0.1_t_118,23.701,1.923076923076923,temp_0.1,,0.52
wq0.1_t_119,25.2851,1.923076923076923,temp_0.1,,0.52
wq0.1_t_120,21.6169,1.923076923076923,temp_0.1,,0.52
wq0.1_t_121,21.6123,1.923076923076923,temp_0.1,,0.52
wq0.1_t_122,23.4395,1.923076923076923,temp_0.1,,0.52
wq0.1_t_123,24.8796,1.923076923076923,temp_0.1,,0.52
wq0.1_t_124,23.7818,1.923076923076923,temp_0.1,,0.52
wq0.1_t_125,25.4849,1.923076923076923,temp_0.1,,0.52
wq0.1_t_126,26.5245,1.923076923076923,temp_0.1,,0.52
wq0.1_t_127,26.0533,1.923076923076923,temp_0.1,,0.52
wq0.1_t_128,27.1817,1.923076923076923,temp_0.1,,0.52
wq0.1_t_129,27.8368,1.923076923076923,temp_0.1,,0.52
wq0.1_t_130,26.9808,1.923076923076923,temp_0.1,,0.52
wq0.1_t_131,27.2727,1.923076923076923,temp_0.1,,0.52
wq0.1_t_132,26.2249,1.923076923076923,temp_0.1,,0.52
wq0.1_t_133,25.4639,1.923076923076923,temp_0.1,,0.52
wq0.1_t_134,26.496,1.923076923076923,temp_0.1,,0.52
wq0.1_t_135,25.6866,1.923076923076923,temp_0.1,,0.52
wq0.1_t_136,25.4176,1.923076923076923,temp_0.1,,0.52
wq0.1_t_137,27.1478,1.923076923076923,temp_0.1,,0.52
wq0.1_t_138,26.8499,1.923076923076923,temp_0.1,,0.52
wq0.1_t_139,27.1844,1.923076923076923,temp_0.1,,0.52
wq0.1_t_140,27.299,1.923076923076923,temp_0.1,,0.52
wq0.1_t_141,24.5514,1.923076923076923,temp_0.1,,0.52
wq0.1_t_142,22.1291,1.923076923076923,temp_0.1,,0.52
wq0.1_t_143,22.2232,1.923076923076923,temp_0.1,,0.52
wq0.1_t_144,25.2603,1.923076923076923,temp_0.1,,0.52
wq0.1_t_145,24.0547,1.923076923076923,temp_0.1,,0.52
wq0.1_t_146,19.4388,1.923076923076923,temp_0.1,,0.52
wq0.1_t_147,15.0777,1.923076923076923,temp_0.1,,0.52
wq0.1_t_148,14.3937,1.923076923076923,temp_0.1,,0.52
wq0.1_t_149,14.2677,1.923076923076923,temp_0.1,,0.52
wq0.1_t_150,15.5647,1.923076923076923,temp_0.1,,0.52
wq0.1_t_151,15.373,1.923076923076923,temp_0.1,,0.52
wq0.1_t_152,12.6855,1.923076923076923,temp_0.1,,0.52
wq0.1_t_153,8.2547,1.923076923076923,temp_0.1,,0.52
wq0.1_t_154,6.0482,1.923076923076923,temp_0.1,,0.52
wq1_t_1,8.7036,1.923076923076923,temp_1,,0.52
wq1_t_2,4.2,1.923076923076923,temp_1,,0.52
wq1_t_3,8.9,1.923076923076923,temp_1,,0.52
wq1_t_4,11.7836,1.923076923076923,temp_1,,0.52
wq1_t_5,11.8,1.923076923076923,temp_1,,0.52
wq1_t_6,13.7861,1.923076923076923,temp_1,,0.52
wq1_t_7,13.1,1.923076923076923,temp_1,,0.52
wq1_t_8,17.6792,1.923076923076923,temp_1,,0.52
