iteration,model_runs_completed,total_phi,measurement_phi,regularization_phi,temp_0.1,temp_1,temp_2,temp_3,temp_4,temp_5,temp_6,temp_7,temp_8,temp_9,oxy_0.1,oxy_1,oxy_2,oxy_3,oxy_4,oxy_5,oxy_6,oxy_7,oxy_8,oxy_9,thermo_depth,schmidt_s,mom,af
0,0,8716.45,8716.45,0,19.8776,20.8813,28.7003,17.8063,31.1218,16.8194,7.03298,2.36582,5.1443,5.57352,27.6199,29.3798,68.5128,242.868,187.646,320.429,315.274,155.031,359.005,470.678,311.525,200.757,566.972,5305.43
1,40,3851.7,3851.7,0,13.5629,13.8171,23.1181,18.9273,35.677,16.4512,6.89116,2.18084,4.92794,5.31306,30.4707,32.9781,72.0928,174.67,96.3445,138.943,83.6636,52.7636,133.829,205.078,416.359,124.912,471.649,1677.08
2,79,2635.98,2635.98,0,13.3709,13.6519,22.8109,17.679,34.3932,16.2299,6.52722,2.00588,4.6107,4.97602,31.8976,35.0552,75.1487,163.16,77.6869,61.1585,34.0393,45.2125,69.9015,97.4888,336.814,122.884,438.75,910.529
3,118,2369.9,2369.9,0,12.1395,12.1442,21.224,17.0086,34.2366,16.3199,6.53607,2.05949,4.67993,5.0355,32.6725,36.1004,76.4151,150.199,70.24,40.4759,38.5875,68.7798,68.0796,66.9344,354.91,113.374,454.82,666.924
4,157,2381.12,2381.12,0,12.0431,12.0265,21.3613,17.8143,32.9084,16.9057,6.89161,2.00272,4.61986,4.95519,32.7265,36.0492,76.0903,155.83,69.1796,39.3408,43.4618,60.1259,73.4171,82.982,345.402,117.233,438.039,679.718
5,225,2374.44,2374.44,0,11.0928,10.8322,19.7942,17.8978,31.1887,16.1155,6.66389,1.96326,4.55046,4.86099,32.4244,36.1445,77.4364,146.809,68.3506,38.1538,41.3476,60.0715,69.7236,77.3729,370.283,105.194,427.674,698.493
6,293,2289.01,2289.01,0,9.99352,9.0378,18.0637,15.1704,30.0273,16.543,6.7842,2.18438,4.90747,5.19905,32.4006,35.6971,75.8944,141.555,67.6347,41.7148,44.9181,54.9808,60.103,71.3982,373.38,92.9004,414.856,663.665
7,361,2243.26,2243.26,0,9.87395,8.84147,17.6581,14.7388,27.6664,16.5457,6.93711,2.26684,5.07725,5.38349,32.4523,35.7257,75.967,148.191,67.0404,40.6224,44.5264,55.7309,60.202,71.049,336.381,92.8437,403.093,664.442
8,429,2264.72,2264.72,0,9.64772,8.58835,17.1454,14.4094,29.3335,17.0129,7.16238,2.39012,5.37814,5.69817,32.3852,35.6047,75.7271,146.756,66.5081,41.2392,45.0943,55.2104,59.3884,70.7839,360.138,91.8915,406.702,660.527
9,497,2238.57,2238.57,0,9.61631,8.5772,17.1363,14.2709,28.1662,17.0235,7.22557,2.44029,5.39185,5.72195,32.4259,35.6647,75.7009,145.976,65.4201,41.3537,49.889,54.7518,58.8603,69.7884,339.53,91.5633,395.416,666.662
10,565,2231.04,2231.04,0,8.68313,7.16346,15.5539,13.3483,28.2933,17.1167,7.62728,2.81901,6.17864,6.6114,33.2706,36.1656,75.8093,142.275,65.9131,42.2234,49.6374,65.1396,63.4829,66.6945,352.236,82.2853,403.584,638.931
11,633,2243.77,2243.77,0,8.76104,7.20075,15.4349,13.4899,27.6257,17.0627,7.63813,2.81095,6.18627,6.63327,33.3222,36.207,75.5315,139.137,66.6143,40.729,50.6119,63.1975,60.9107,69.3676,395.273,82.4138,402.876,614.732
12,701,2238.18,2238.18,0,8.65765,6.96867,15.0715,13.2188,27.6209,17.2271,7.8442,2.96349,6.39972,6.85867,33.361,36.1905,75.8083,139.317,67.6011,41.7386,53.8422,61.2826,61.7911,73.5185,360.567,80.6487,410.983,628.696
13,769,2272.23,2272.23,0,8.64546,6.9183,15.1941,13.4724,25.5821,16.7677,7.87426,2.97958,6.39547,6.86036,33.3146,36.1983,75.7035,140.249,65.246,41.3782,55.0005,60.6705,61.534,73.248,383.92,79.413,392.571,663.097
14,837,2205.08,2205.08,0,8.65791,6.92545,14.9978,13.2887,27.017,17.2838,7.90805,2.99082,6.42379,6.87413,33.3612,36.1688,75.728,138.34,66.0219,41.1728,55.6568,61.399,61.8424,70.7316,336.307,80.3156,391.909,643.753
15,905,2185.56,2185.56,0,8.63381,6.3263,13.4881,12.7337,25.3498,17.2792,8.50258,3.5862,7.48969,8.14297,33.9436,36.5228,76.2486,134.282,65.6198,43.0761,46.0197,64.2957,64.7919,70.1179,337.18,73.1796,407.436,621.315
16,973,2186.96,2186.96,0,8.79048,6.22588,13.3361,12.5676,25.854,17.0309,8.56325,3.62363,7.50056,8.13974,34.0447,36.5631,76.1802,131.584,65.8312,42.989,50.2184,59.9238,60.2605,69.8399,365.13,72.3797,402.921,607.461
17,1041,2211.01,2211.01,0,8.97095,6.39402,14.1778,13.1265,24.5854,16.7332,8.1324,3.3857,6.88303,7.43876,34.817,37.2999,76.3429,133.804,66.2884,44.179,46.0888,70.7043,67.9561,71.1344,375.467,71.6768,401.589,603.83
18,1109,2168.48,2168.48,0,9.00345,6.17582,14.002,12.0719,22.8082,17.6359,9.29739,4.01729,7.98965,8.72249,35.2023,37.7481,76.3682,140.321,65.6131,42.4672,51.3149,68.3286,64.8845,71.1904,321.268,71.2129,393.776,617.061
19,1177,2175.19,2175.19,0,9.14679,6.1964,13.927,12.0062,22.2271,17.9113,9.60045,4.16228,8.32264,9.03905,34.8144,37.338,76.1588,138.321,65.2048,42.68,49.4727,65.5147,63.6332,70.4185,338.409,70.9269,396.616,613.147
20,1245,2184.12,2184.12,0,9.14488,6.17049,13.9455,11.9588,23.7541,18.1687,9.70286,4.23055,8.33348,9.06312,34.7295,37.1866,75.9404,135.851,66.8741,42.5229,49.6546,62.5068,62.3338,70.2606,337.067,71.1675,407.257,616.296
21,1313,2199.62,2199.62,0,9.11895,6.14217,13.9058,11.8817,22.7035,18.1446,9.66727,4.21573,8.29871,9.06034,34.7159,37.2189,75.9829,139.167,64.8173,42.0131,49.1969,62.8461,62.7062,72.4892,354.612,70.5069,390.982,629.232
22,1381,2187.26,2187.26,0,9.18099,6.20267,13.8266,11.9098,22.4532,18.062,9.61897,4.18573,8.30987,9.06877,34.6999,37.1866,75.9734,140.421,64.9982,42.2604,47.5057,66.7965,65.4411,71.6057,348.14,70.8111,392.999,615.607
23,1449,2187.65,2187.65,0,9.16491,6.21123,13.8767,12.1343,23.4198,18.3677,9.7407,4.24413,8.36788,9.10115,35.528,38.0169,76.8532,136.783,66.4663,43.5434,48.3376,66.7601,65.2998,71.0444,358.216,71.1345,398.833,596.209
