time,FLOW,TEMP,SALT,elevation,TRC_tr1,TRC_age,NCS_ss1,NCS_ss2,OXY_oxy,CAR_dic,CAR_pH,CAR_ch4,CAR_ch4_bub,SIL_rsi,NIT_amm,NIT_nit,PHS_frp,PHS_frp_ads,OGM_doc,OGM_poc,OGM_don,OGM_pon,OGM_dop,OGM_pop,OGM_docr,OGM_donr,OGM_dopr,OGM_cpom,PHY_cyano,PHY_cyano_IN,PHY_cyano_IP,PHY_green,PHY_green_IN,PHY_green_IP,PHY_diatom,PHY_diatom_IN,PHY_diatom_IP,BIV_filtfrac
2015-07-17,0.014133333,14.03884319,0,0.2,0,0,0,0,511.8252096,87.8622,6.17,0.1015,0,102.6964,13.5651,0.0922,0.0436,0.0087,16.6528,24.1465,0.6604,1.3207,0.0113,0.2643,224.8127,5.9433,0.1019,24.1465,0,0,0,0,0,0,0,0,0,0
2015-07-18,0.014133333,14.07765076,0,0.3,0,0,0,0,511.8252096,87.889,6.17,0.0879,0,102.6964,14.3649,0.0991,0.0466,0.0093,16.6528,24.1465,0.7377,1.4754,0.0124,0.289,224.8127,6.6393,0.1115,24.1465,0,0,0,0,0,0,0,0,0,0
2015-07-19,0.014133333,14.11645834,0,0.3,0,0,0,0,511.8252096,87.9159,6.17,0.0742,0,102.6964,15.1647,0.106,0.0496,0.0099,16.6528,24.1465,0.815,1.6301,0.0134,0.3137,224.8127,7.3352,0.121,24.1465,0,0,0,0,0,0,0,0,0,0
2015-07-20,0.014133333,14.15526591,0,0.3,0,0,0,0,511.8252096,87.9427,6.17,0.0605,0,102.6964,15.9645,0.1129,0.0526,0.0105,16.6528,24.1465,0.8924,1.7847,0.0145,0.3383,224.8127,8.0312,0.1305,24.1465,0,0,0,0,0,0,0,0,0,0
2015-07-21,0.014133333,14.20708,0,0.3,0,0,0,0,511.8252096,87.9695,6.17,0.0565,0,102.6964,15.9962,0.1175,0.0511,0.0102,17.3665,25.1814,0.925,1.8501,0.0147,0.343,234.4475,8.3254,0.1323,25.1814,0,0,0,0,0,0,0,0,0,0
2015-07-22,0.014133333,14.2588941,0,0.3,0,0,0,0,511.8252096,87.9963,6.17,0.0524,0,102.6964,16.0279,0.1221,0.0496,0.0099,18.0802,26.2162,0.9577,1.9155,0.0149,0.3476,244.0823,8.6196,0.1341,26.2162,0,0,0,0,0,0,0,0,0,0
2015-07-23,0.014133333,14.3107082,0,0.4,0,0,0,0,511.8252096,88.0231,6.17,0.0484,0,102.6964,16.0596,0.1267,0.0481,0.0096,18.7939,27.2511,0.9904,1.9809,0.0151,0.3522,253.7171,8.9139,0.1358,27.2511,0,0,0,0,0,0,0,0,0,0
2015-07-24,0.014133333,14.35979685,0,0.4,0,0,0,0,511.8252096,88.05,6.17,0.0444,0,102.6964,16.0912,0.1313,0.0466,0.0093,19.5076,28.286,1.0231,2.0462,0.0153,0.3568,263.352,9.2081,0.1376,28.286,0,0,0,0,0,0,0,0,0,0
2015-07-25,0.014133333,14.40888549,0,0.4,0,0,0,0,511.8252096,88.0768,6.17,0.0403,0,102.6964,16.1229,0.1359,0.0451,0.009,20.2212,29.3208,1.0558,2.1116,0.0155,0.3614,272.9868,9.5023,0.1394,29.3208,0,0,0,0,0,0,0,0,0,0
2015-07-26,0.014133333,14.45797414,0,0.4,0,0,0,0,511.8252096,88.1036,6.17,0.0363,0,102.6964,16.1546,0.1406,0.0436,0.0087,20.9349,30.3557,1.0885,2.177,0.0157,0.366,282.6216,9.7965,0.1412,30.3557,0,0,0,0,0,0,0,0,0,0
