DateTime,Depth,temp
2013-05-16,0.1,18.3691
2013-05-16,1,16.8125
2013-05-16,2,14.3444
2013-05-16,3,12.599
2013-05-16,4,10.5329
2013-05-16,5,8.383
2013-05-16,6,8.1063
2013-05-16,7,8.0174
2013-05-16,8,7.9723
2013-05-16,9,7.9523
2013-05-16,9.2,7.9491
2013-05-21,0.1,18.9194
2013-05-21,1,17.4362
2013-05-21,2,15.1035
2013-05-21,3,13.5105
2013-05-21,4,11.1806
2013-05-21,5,8.8232
2013-05-21,6,8.6623
2013-05-21,7,8.6405
2013-05-21,8,8.6389
2013-05-21,9,8.5793
2013-05-21,9.2,8.5808
2013-05-23,0.1,21.0439
2013-05-23,1,18.9733
2013-05-23,2,15.155
2013-05-23,3,13.0946
2013-05-23,4,9.7319
2013-05-23,5,8.7984
2013-05-23,6,8.7454
2013-05-23,7,8.7063
2013-05-23,8,8.6967
2013-05-23,9,8.6999
2013-05-23,9.2,8.6967
2013-05-30,0.1,22.1139
2013-05-30,1,20.1045
2013-05-30,2,17.4293
2013-05-30,3,14.3122
2013-05-30,4,10.4886
2013-05-30,5,9.3129
2013-05-30,6,9.2378
2013-05-30,7,9.2088
2013-05-30,8,9.1933
2013-05-30,9,9.1663
2013-05-30,9.2,9.1481
2013-06-04,0.1,23.6841
2013-06-04,1,22.9911
2013-06-04,2,18.5316
2013-06-04,3,14.8309
2013-06-04,4,10.9825
2013-06-04,5,9.5937
2013-06-04,6,9.5137
2013-06-04,7,9.4918
2013-06-04,8,9.4638
2013-06-04,9,9.4483
2013-06-04,9.2,9.4378
2013-06-06,0.1,21.9342
2013-06-06,1,22.1384
2013-06-06,2,19.1041
2013-06-06,3,14.7292
2013-06-06,4,10.6863
2013-06-06,5,9.6415
2013-06-06,6,9.6125
2013-06-06,7,9.5995
2013-06-06,8,9.587
2013-06-06,9,9.5774
2013-06-06,9.2,9.564
2013-06-13,0.1,23.6155
2013-06-13,1,21.2973
2013-06-13,2,17.8329
2013-06-13,3,15.0406
2013-06-13,4,11.1132
2013-06-13,5,9.9824
2013-06-13,6,9.9076
2013-06-13,7,9.899
2013-06-13,8,9.8665
2013-06-13,9,9.8544
2013-06-13,9.2,9.8544
2013-06-20,0.1,22.9495
2013-06-20,1,22.0662
2013-06-20,2,19.4899
2013-06-20,3,16.0306
2013-06-20,4,12.3289
2013-06-20,5,10.2437
2013-06-20,6,10.1438
2013-06-20,7,10.1072
2013-06-20,8,10.0617
2013-06-20,9,10.0393
2013-06-20,9.2,10.0393
2013-06-25,0.1,26.0938
2013-06-25,1,24.8265
2013-06-25,2,20.5779
2013-06-25,3,16.5833
2013-06-25,4,12.032
2013-06-25,5,10.3535
2013-06-25,6,10.2116
2013-06-25,7,10.1434
2013-06-25,8,10.064
2013-06-25,9,9.989
2013-06-25,9.2,9.946
2013-06-27,0.1,25.412
2013-06-27,1,24.645
2013-06-27,2,20.5132
2013-06-27,3,15.6251
2013-06-27,4,11.767
2013-06-27,5,10.3672
2013-06-27,6,10.1705
2013-06-27,7,10.1031
2013-06-27,8,10.0414
2013-06-27,9,9.9304
2013-06-27,9.2,9.9542
2013-07-03,0.1,24.0484
2013-07-03,1,23.3826
2013-07-03,2,20.933
2013-07-03,3,17.8627
2013-07-03,4,13.1795
2013-07-03,5,10.6886
2013-07-03,6,10.1828
2013-07-03,7,10.1177
2013-07-03,8,10.0321
2013-07-03,9,9.9384
2013-07-03,9.2,9.9194
2013-07-11,0.1,23.1061
2013-07-11,1,22.9678
2013-07-11,2,22.193
2013-07-11,3,20.4808
2013-07-11,4,18.5384
2013-07-11,5,13.3908
2013-07-11,6,12.1981
2013-07-11,7,10.6814
2013-07-11,8,10.4522
2013-07-11,9,10.304
2013-07-11,9.2,10.3089
2013-07-15,0.1,23.6396
2013-07-15,1,21.71
2013-07-15,2,19.6548
2013-07-15,3,18.5816
2013-07-15,4,16.7946
2013-07-15,5,12.8347
2013-07-15,6,11.4486
2013-07-15,7,10.9562
2013-07-15,8,10.6249
2013-07-15,9,10.3828
2013-07-15,9.2,10.3424
2013-07-18,0.1,26.7469
2013-07-18,1,24.09
2013-07-18,2,20.2772
2013-07-18,3,18.4522
2013-07-18,4,15.2251
2013-07-18,5,12.7367
2013-07-18,6,11.7618
2013-07-18,7,10.8921
2013-07-18,8,10.7223
2013-07-18,9,10.4812
2013-07-18,9.2,10.5038
2013-07-22,0.1,25.6721
2013-07-22,1,25.7582
2013-07-22,2,22.1224
2013-07-22,3,18.6909
2013-07-22,4,15.1236
2013-07-22,5,12.822
2013-07-22,6,11.3421
2013-07-22,7,10.726
2013-07-22,8,10.4698
2013-07-22,9,10.3509
2013-07-22,9.2,10.3509
2013-07-25,0.1,25.5124
2013-07-25,1,25.5099
2013-07-25,2,21.6997
2013-07-25,3,18.6965
2013-07-25,4,15.3726
2013-07-25,5,12.6316
2013-07-25,6,11.3559
2013-07-25,7,10.8254
2013-07-25,8,10.6168
2013-07-25,9,10.4625
2013-07-25,9.2,10.5104
2013-07-29,0.1,24.4282
2013-07-29,1,24.4394
2013-07-29,2,22.8287
2013-07-29,3,18.9286
2013-07-29,4,15.4791
2013-07-29,5,13.0373
2013-07-29,6,11.5471
2013-07-29,7,11.0436
2013-07-29,8,10.7226
2013-07-29,9,10.5122
2013-07-29,9.2,10.4464
2013-08-01,0.1,23.2921
2013-08-01,1,23.2441
2013-08-01,2,21.6745
2013-08-01,3,19.3149
2013-08-01,4,15.2983
2013-08-01,5,12.7248
2013-08-01,6,11.443
2013-08-01,7,11.0179
2013-08-01,8,10.7435
2013-08-01,9,10.5976
2013-08-01,9.2,10.5968
2013-08-08,0.1,23.5397
2013-08-08,1,23.3756
2013-08-08,2,22.2905
2013-08-08,3,20.0003
2013-08-08,4,16.1428
2013-08-08,5,12.3797
2013-08-08,6,11.6333
2013-08-08,7,11.5203
2013-08-08,8,11.2918
2013-08-08,9,11.2954
2013-08-08,9.2,11.2954
2013-08-12,0.1,27.0352
2013-08-12,1,27.0277
2013-08-12,8,13.0383
2013-08-12,9,12.4659
2013-08-12,9.2,12.4659
2013-08-28,0.1,23.7422
2013-08-28,1,23.7362
2013-08-28,2,21.7641
2013-08-28,3,18.8647
2013-08-28,4,14.6591
2013-08-28,5,12.4897
2013-08-28,6,12.3262
2013-08-28,7,12.2489
2013-08-28,8,12.2006
2013-08-28,9,12.1522
2013-08-28,9.2,12.1446
2013-09-18,0.1,20.3273
2013-09-18,1,20.3263
2013-09-18,2,20.3186
2013-09-18,3,20.2942
2013-09-18,4,15.9982
2013-09-18,5,13.1562
2013-09-18,6,12.9973
2013-09-18,7,12.9536
2013-09-18,8,12.9265
2013-09-18,9,12.9048
2013-09-18,9.2,12.8981
2013-09-25,0.1,19.4967
2013-09-25,1,19.4865
2013-09-25,2,19.4298
2013-09-25,3,18.8673
2013-09-25,4,15.5793
2013-09-25,5,13.3721
2013-09-25,6,13.2224
2013-09-25,7,13.1512
2013-09-25,8,13.1305
2013-09-25,9,13.1212
2013-09-25,9.2,13.0963
2013-10-16,0.1,17.5697
2013-10-16,1,17.5806
2013-10-16,2,17.5395
2013-10-16,3,17.3191
2013-10-16,4,16.7653
2013-10-16,5,14.0855
2013-10-16,6,13.2894
2013-10-16,7,13.2187
2013-10-16,8,13.2
2013-10-16,9,13.1806
2013-10-16,9.2,13.1762
2013-10-22,1,13.4
2013-10-22,8,12.4
2013-10-22,9,12.3
2013-10-22,9.2,12.3
2013-10-23,0.1,15.1589
2013-10-23,1,15.1606
2013-10-23,2,15.1611
2013-10-23,3,15.1535
2013-10-23,4,15.0865
2013-10-23,5,14.0126
2013-10-23,6,13.5906
2013-10-23,7,13.5597
2013-10-23,8,13.5415
2013-10-23,9,13.5333
2013-10-23,9.2,13.5315
2013-10-30,0.1,13.3158
2013-10-30,1,13.2477
2013-10-30,2,12.66
2013-10-30,3,12.5228
2013-10-30,4,12.4452
2013-10-30,5,12.4196
2013-10-30,6,12.4133
2013-10-30,7,12.4107
2013-10-30,8,12.4083
2013-10-30,9,12.4081
2013-10-30,9.2,12.4081
2013-11-06,0.1,12.0631
2013-11-06,1,12.0626
2013-11-06,2,11.9727
2013-11-06,3,11.9558
2013-11-06,4,11.9476
2013-11-06,5,11.9365
2013-11-06,6,11.9076
2013-11-06,7,11.8391
2013-11-06,8,11.8091
2013-11-06,9,11.7609
2013-11-06,9.2,11.7562
2013-11-20,0.1,8.593
2013-11-20,1,8.5959
2013-11-20,2,8.5757
2013-11-20,3,8.5705
2013-11-20,4,8.5689
2013-11-20,5,8.567
2013-11-20,6,8.5592
2013-11-20,7,8.5613
2013-11-20,8,8.5236
2013-11-20,9,8.4923
2013-11-20,9.2,8.4852
2013-12-04,0.1,5.0276
2013-12-04,1,4.9758
2013-12-04,2,4.8995
2013-12-04,3,4.8545
2013-12-04,4,4.7706
2013-12-04,5,4.5966
2013-12-04,6,4.5889
2013-12-04,7,4.583
2013-12-04,8,4.5796
2013-12-04,9,4.5798
2013-12-04,9.2,4.5802
2014-05-05,0.1,16.9798
2014-05-05,1,15.3713
2014-05-05,2,13.857
2014-05-05,3,12.257
2014-05-05,4,10.2151
2014-05-05,5,9.0168
2014-05-05,6,8.2895
2014-05-05,7,7.9926
2014-05-05,8,7.8383
2014-05-05,9,7.6969
2014-05-05,9.2,7.6701
2014-05-06,0.1,16.4702
2014-05-06,1,14.8694
2014-05-06,2,13.8676
2014-05-06,3,11.9106
2014-05-06,4,10.061
2014-05-06,5,8.7439
2014-05-06,6,8.3658
2014-05-06,7,8.0834
2014-05-06,8,7.7931
2014-05-06,9,7.6712
2014-05-06,9.2,7.7472
2014-05-07,0.1,17.578
2014-05-07,1,15.5915
2014-05-07,2,14.1978
2014-05-07,3,12.5523
2014-05-07,4,11.2282
2014-05-07,5,9.3939
2014-05-07,6,8.3528
2014-05-07,7,8.2139
