iteration,model_runs_completed,total_phi,measurement_phi,regularization_phi,temp_0.1,temp_1,temp_2,temp_3,temp_4,temp_5,temp_6,temp_7,temp_8,temp_9,oxy_0.1,oxy_1,oxy_2,oxy_3,oxy_4,oxy_5,oxy_6,oxy_7,oxy_8,oxy_9,thermo_depth,schmidt_s,mom,af
14,866,1393.24,1393.24,0,9.02114,6.04634,12.4725,11.5749,23.7158,17.8638,7.92243,2.91408,5.9398,5.91052,34.6376,37.4059,77.0857,131.843,64.8358,40.9166,57.6459,41.0432,56.7014,69.6424,339.141,101.311,195.213,42.435
15,934,1354.52,1354.52,0,9.32988,6.12562,12.2443,11.3442,22.1618,18.7535,8.55626,3.13989,6.34291,6.34912,34.9148,37.5356,77.6777,131.753,63.8352,41.4546,57.0585,42.3269,54.9069,67.6819,294.795,102.021,202.281,41.9338
16,1002,1356.87,1356.87,0,9.385,6.1138,12.6179,11.2627,22.7767,18.3437,8.11398,2.88769,5.83108,5.78473,35.2366,37.9508,77.734,127.806,63.1422,42.7065,58.6855,41.9911,56.7121,67.3885,306.419,100.819,196.664,40.4975
17,1070,1387.94,1387.94,0,9.65043,6.21515,12.3181,11.4351,23.6641,18.37,8.61773,3.20632,6.25477,6.19162,36.1029,38.7801,78.7296,132.524,65.2733,40.4431,50.8449,41.2135,52.4875,65.4165,339.007,98.1241,204.107,38.965
18,1138,1393.24,1393.24,0,9.70138,6.23031,12.2744,11.4606,23.732,18.2826,8.56247,3.17392,6.22495,6.17359,36.4561,39.1241,79.4061,131.265,65.1785,40.8462,54.5971,41.2914,52.1692,68.0613,338.206,97.6921,204.506,38.6244
19,1206,1350,1350,0,9.88412,6.16811,12.0223,11.4382,24.115,17.9997,8.27719,3.04738,5.94118,5.9072,36.2998,38.9331,78.9639,127.38,66.1844,40.1765,52.1268,46.6965,53.3803,61.7494,296.765,97.5968,212.12,36.8262
20,1274,1339.65,1339.65,0,9.88491,6.16547,11.9234,11.4811,23.3861,18.1798,8.27001,2.98433,5.83922,5.79852,36.118,38.7947,79.0293,126.962,63.4664,40.4422,48.4609,46.3544,53.814,63.2021,306.781,97.7789,198.54,35.9925
21,1342,1342.13,1342.13,0,9.52791,6.02698,12.0439,11.0644,21.9935,18.5734,8.11572,2.64287,5.28493,5.20308,34.7899,37.8728,78.6332,140.464,64.1886,39.1678,47.2736,41.7002,50.6311,66.4471,299.609,98.2548,203.11,39.5131
22,1410,1339.75,1339.75,0,9.62086,6.02299,12.1233,10.6574,21.4154,18.5498,8.22664,2.73324,5.44472,5.35585,34.9638,38.1065,78.578,139.623,64.2859,39.0457,45.0011,42.9419,51.1838,63.7428,297.727,97.1868,207.252,39.9644
23,1478,1351.11,1351.11,0,10.0371,6.21223,12.4425,10.9111,20.5774,18.6909,8.32617,2.81095,5.54155,5.45896,35.5189,38.7285,79.3186,138.465,65.5967,39.3366,49.5913,39.8636,49.2177,64.5895,305.116,96.2816,207.128,41.3481
24,1546,1356.17,1356.17,0,10.0726,6.26743,12.8257,11.1889,21.2283,18.7253,8.45035,2.82889,5.56751,5.48808,35.3582,38.5403,78.6779,136.96,65.0937,39.7117,49.1542,42.8012,50.2236,65.0041,306.692,97.5082,208.726,39.0769
25,1614,1351.56,1351.56,0,10.035,6.244,12.7682,11.2907,21.2119,18.7307,8.51173,2.79408,5.56903,5.50833,35.4434,38.7,78.8423,138.276,64.9224,39.5084,53.4464,41.8767,50.2185,64.6536,302.92,97.869,202.818,39.4
